 genes
yjcH-yjcG-yjcF
bglS
phrH
ytfP-opuD
tkmA-ptkA-ptpZ-ugd
secG-yvaK-rnr-smpB-ssrA
ispC-rasP-proS-polC
ynbA-ynbB-glnR-glnA
defA-fmt-yloM-yloN
sspM
cggR-gapA-pgk-tpi-pgm-eno
ywcE
ycbC-ycbD-ycbE-ycbF-ycbG-ycbH-ycbJ
sspG
lnrJ-lnrK
tig
yubF
dctB-ydbD
yxeD
ywqH-ywqI-ywqJ-ywqK-ywqL
cotA
rtpA-ycbK
ppaC
trpS
tapA-sipW-tasA
rppH
dnaD-nth
yhfW
ygaC-ygaD
yycO-yycP-yycQ
sspO-sspP
yxeI-yxeJ
ftsW-pycA
tagU
yhfH
phrE
ydaF-ydaG
yqgP-yqgO-glcK-yqgS
yxaD
yutD-yutE-yutF
metN-metP-metQ
ysdC
ydeB
rpoE-pyrG
yfjM-yfjL
yugK
yycN
nifZ-thiI-sspA
yvqJ
sleB-ypeB
ypmT
ypfB
abrB
sdpA-sdpB-sdpC
yxxF
tlpB
ybfK-pssA-ybfM-psd
ackA
ntdA-ntdB-ntdC-glcP
yuzK
yjgC-yjgD
ydgK
yybH-yybI
ipi
rplU-prp-rpmA
yjzD
pghL
mneS
gcvH-yusG
degR
sucC-sucD-dprA-topA
yrvJ
icd-mdh
aldX
rrnD_16S-rrnD_23S-rrnD_5S
ung
gpsB-rnpB-ypsC
yclE
niaP
yloC-remA-gmk-yloH-yloI-priA-defA-fmt-yloM-yloN
cssR-cssS
ytbD-ytbE
ykoS-ykoT
ytzI
nagA-nagB-nagR
pbpF
yvbV
mlpA
nasA
serC-trpP
ydiO-ydiP
ccpC
yknU-yknV-yknW-yknX-yknY-yknZ
catD-catE
yutI
hisS-aspS
gapB-speD
ypwA
yycR
yusS-yusR-yusQ
yycS
spoIIM
ansR
mtnK-mtnA
ywzF-ywzE-ureA-ureB-ureC
murE-mraY-murD-spoVE-murG-murB-divIB-ylxW-ylxX-sbp
ywqM
spoIIE
yrvC-yrvD
yfkF
lytH
maeA-ywkB
ybdO
slp
yvgN
yjfA
miaA-hfq
steT
yqfX
yveF-yveG-padC
ykuQ-ykuR-ykuS
yqzH
yogA
ykaA-pit
cggR-gapA
cotM
yxbB-yxbA-yxnB
pstS-pstC-pstA-pstBA-pstBB
rapH-phrH
yrdC
msrA-msrB
spoIVCA
ctpA
pncA-pncB
yvbT
dgkB-rlmCD
pdaA
yfmA-yflT
ytdI
yrvD
nrdI-nrdE-nrdF-ymaB
gutB-gutP-fruC
walR-walK-walH-walI-walJ-htrC
yxiO
kinB-kapB
dgkB-rlmCD-yefC-yeeA-yeeB-yeeC
mtrA-yfnB
gerE
spx
infC-rpmI-rplT-ysdA
bacA-bacB-bacC-bacD-bacE-bacF
ysgA
cypC
yukE
putR
hxlR
yraL
ylbP
bceA-bceB
csfG
ohrB-ykzN
yceC-yceD-yceE-yceF-yceG-yceH
yclJ-yclK
sigA
lepA-hemN
ytzB
yfmM
yvdT-yvdS-yvdR
tagT
ydcF-ydcG-pamR
accD-accA
parE-parC
ydfK
ispH
bdbD-bdbC
yhcQ
mreB-mreC-mreD-minC-minD
ytoI
trpE-trpD-trpC-trpF-trpB-trpA
ktrD
ywhC-ywhD
cotT
smpB-ssrA
gabT-gabD
ybaK-cwlD
ohrA
yxjH
ybfO-ybfP-ybfQ
fer
yrzH-yrzT
bsrB
ymzA-nrdI-nrdE-nrdF-ymaB
yycC-yycB
clsA
sufC-sufD-sufS-sufU-sufB
ywbF-ywbE
yheG
cimH
yisQ
gntZ
ywtG
uppS-cdsA-ispC-rasP-proS-polC
yjgB
ktrC
yvmC-cypX
lnrL-lnrM-lnrN
ykzB-ykoL
yxbC-yxbD
catR
csbB-yfhO
csbC
sigKC
ywrF
fsrA
yceK
pchR-yvmA
fosB
yscB
sspH
ald-yukJ
pspA-ydjG-ydjH-ydjI
pdhA-pdhB-pdhC-pdhD
cysK
rbgA-rnhB-ylqG-ylqH
cwlJ
yflT
rpsO
cwlO
ydaG
yxlA
ydfR
yfkK
ytaG
ylbN-rpmF
fnr
glpT-glpQ
disA
bceR-bceS
azoR2
rsfA
rsbR-rsbS-rsbT-rsbU-rsbV-rsbW-sigB-rsbX
kdgR-kdgK-kdgA-kdgT
tpx-ytxK
yybG
yceC-yceD-yceE-yceF
fra
sigM-yhdL-yhdK
ybeF-ybfA-ybfB
yitK
yddJ
ytnP-malS
sipT
yhcR-yhcS
yqkB-yqkC
ysnF
ansZ
yqjF
yvrE
brxB
argS
yitU-yizC
yrkA
pnbA
yfnD
ymaF-miaA-hfq
yjmC-yjmD-uxuA-yjmF-exuT-exuR-uxaB-uxaA
ylxM-ffh-rpsP-ylqC-ylqD-rimM-trmD-rplS
ald
leuS
spoVAA-spoVAB-spoVAC-spoVAD-spoVAEB-spoVAEA-spoVAF-lysA
citG
ydjM
yrzP-adhA-yraA
yqjY-yqjZ-yqkA-yqkB-yqkC
yusG
yfnC
ydzA
yrhP
adeC
gmuB-gmuA-gmuC-gmuD-gmuR-gmuE-gmuF-gmuG
sigY-yxlC-yxlD-yxlE-yxlF-yxlG
brxA
spoIIB
rapI-phrI
yycD
yjzI
yvbG
secA-prfB
menB-menE-menC
aadK-bstE
mmgA-mmgB-mmgC-mmgD-mmgE-mmgF
sacT
yxdJ-yxdK
glpD
dhaS
fruR-fruK-fruA
ygxB
yphC-gpsA
yrhE-yrhD
glyA
ybfO-ybfP
yvrD
ftsY
comEA-comEB-comEC
gatC-gatA-gatB
yrkC-yrzN
purT
yuzF
yitT-ipi
yddK
phrF
yfmG
yaaH
ywlF-ywlG
yrbG
ypmA-tseB-aspB
yobN-yobO
yfhB-yfhC
rplJ-rplL
lytA-lytB-lytC
acsA-ytzK
yhxA-glpP
yhaJ
pbpC-ycsN
yteV
glnQ-glnH-glnM-glnP
yokB
rluB-resA-resB-resC-resD-resE
rpmE
yczC
fecC-fecD-fecE-fecF
yfkK-yfkL
ymcB-ymcA
araE
bstA
yhdI
bstG
comN-secDF
alsT
ybgF
tlpC
yolD-uvrX
metA-ugtP
nonA
yppE
kinE-ogt
ccdA-yneI-yneJ
ywqL
guaB
qcrA-qcrB-qcrC
yqhR-yqhS-papA-efp
ylaA-ylaB-ylaC-ylaD
rapC-phrC
mhqN-mhqO-mhqP
mtrA
ykoG-ykoH-ykoI-ykoJ
pgdS
yflA
snaA-tcyJ-tcyK-tcyL-tcyM-tcyN-cmoO-cmoI-cmoJ-ribR-sndA-ytnM
ydbB-ydbC
yabP-yabQ-divIC-yabR
citB-yneN
flgB-flgC-fliE-fliF-fliG-fliH-fliI-fliJ-ylxF-fliK-flgD-flgE-swrD-fliL-fliM-fliY-cheY-fliZ-fliP-fliQ-fliR-flhB-flhA-flhF-flhG-cheB-cheA-cheW-cheC-cheD-sigD-swrB
yraA
ssbB
sboA-sboX-albA-albB-albC-albD-albE-albF-albG
ytaP
ydfH-ydfI
yrkK-yrkL
metS-yabD
yidC1-jag
srfAA-srfAB-comS-srfAC-srfAD
yubA-uppP
ykuT
mrpA-mrpB-mrpC-mrpD-mrpE-mrpF-mrpG
yrzM-yrkD-yrkE-yrkF-yrkH-yrkI-yrkJ-yrkK-yrkM
ydzN
luxS
gabR
ythP-ythQ
tseB-aspB
spoVD
yqkE
sscA
ntdR
yodN-yozD
ylzH-tmcAL
yktC-ykzC
yhbI-yhbJ-yhcA-yhcB-yhcC
adeR
yphE-yphF
trmFO-codV-clpQ-clpY-codY
yhzD
minC-minD
yhjA
ydbA
aimP
ykvP-ykzQ-ykvQ-ykzR
yhdN-plsC
glxA
ysfB
gabP
holA
alkA
ppsA-ppsB-ppsC-ppsD-ppsE
hemE-hemH-hemY
yurR-yurQ
yobR-yobQ-csaA
yveA
yxjI
yktA
cccA
mgsR
yuiE
cotX
yncD
lysS
rsbP-rsbQ
ypbS-ypzF
yvjA-cccB
txpA
nrnA
yvbH
ohrR
yfhS
gltR
asd-dapG-dapA
bsdB-bsdC-bsdD
gerKA-gerKC-gerKB
yhfM
spoIISA-spoIISB
mciZ-yqkF
yvcA-yvcB-yvzA
trmR-yrrN-yrrO-udk-greA
rok
yodA
bsrE
ypiA-ypiB
bglC
adhR
ybgB
katA
yqeB
ywlD-ywlE-ywlF-ywlG
gcaD-prs-ctc
yoyC-yojF-bshB2
cwlS
yrzA
yodB
lysC
sigD-swrB
coiA-pepF
yesE-yesF
spoVT
zinT
katE-yxiS
metK
yqgB
lutA-lutB-lutC
dacA-pdxS-pdxT-serS
tdh-kbl
ypjB
cwlS-yojM
yvnA
dppA-dppB-dppC-dppD-dppE
acpS-ydcC
yjzK-yjcZ-spoVIF
ybfG-ybfF-ybfE
yokF-yokE
yybN-yybM-yybL-yybK-yybJ
ydcC
yhbB-cspR
dgk-dck
yngA-yngB-yngC
ytwF
SR5
tagA-tagB
pbpI-yrrS
rpsP-ylqC
ywfA
yxbB-yxbA-yxnB-asnH-yxaM
sspC
aprE
cheV
yrhO
yvbI
yxeC
yfjA-yfjB-yfjC-yfjD-yfjE-yfjF
yyaQ
araR
spo0F
yhzB
yokD
gltT
ndoAI-ndoA
ydjJ
yxbG
melA
yjcA
yhcY-yhcZ-yhdA
ydaS
yfjP-yfjO
yqxI-yqxJ
cadA
blt-bltD
yjdG
topA
ygzD-ygaO
ypeP-ypeQ
ytkC
rplS
yozM
ybfA-ybfB
abn2
yqfZ-ispG
glnK-glnL
psdR-psdS-psdA-psdB
yndA-ynzB
ypfD-fni
ylmA
yhaX
yyaD
yloU-yloV
ydeI
bmrB-bmrC-bmrD
ydhU/2-ydhU/1
yvfG
sr1
ctaB-ctaC-ctaD-ctaE-ctaF-ctaG
rplGB-rpsL-rpsG-fusA-tufA
dynA-ypbS-ypzF
ydeC-ydzE
yczG
yqgW
ytxG-ytxH-ytxJ
yknW-yknX-yknY-yknZ
yoaJ
pbuE
fadH-fadG-ykzU
yjlA
cotD
fhuB-fhuG-fhuC
yhjR-yhjQ
yqgC-sodA
ccpA-motP-motS
rapD
cspD
ypiB
ywqN
yrrL
yfjQ
mtnW-mtnX-mtnB-mtnD
degV
yoaH
fadN-fadA-fadE
yhfP-yhfQ
yqaP
yybF
yuzI-yugP
yvaM
ykuS
maeN
narG-narH-narJ-narI
cotO
lcfB
ytxC
rapK-phrK
clpP
surC
tepA-ylzJ
yhaH
pta
yfkQ-yfkR-yfkS-yfkT
queG
spoIIR
yuaF-floT-yuaI
yqbG
yfmP-yfmO
ylmB
iolT
rplO-secY-adk-map
rocD-rocE-rocF
aroC
yjkB-yjkA
yydA
fpbN-fpbO-fpbP-fpbQ
dgcK
speD
glcU-gdh
yoeD
yyaB
lipM-mntR
yojE-yoyC-yojF-bshB2
yndB
rodA
ywnJ
spoVG
yunG-yunF-yunE-yunD-yunC
ymaD
yvbK
yetO
yumC
deoR
ggt
pbpD-yuxK
cspC
ywbD
yuaD
yppC
yttB
pbpA
nupG
alaR-alaT
yitE
artP-artQ-artR
prpE
ywnH-ywnG
yxeE
rapB
ywjA-ywjB
glnA
yjzB
ypfD
veg
ykzP-ykzE
mhqR
ydfJ
sinI-sinR
nhaC
yxaA-yxaB
ytpA-ytpB
yteA
ywnA-ywnB
yvdE-yvdF-mdxE-mdxF-mdxG-yvdJ-yvdK-malL-pgcM
fdhD-moaA
eag
yojN-yojO
yoaR-yozF-yozT
yrrT-mtnN-mccA-mccB-yrhC
ytaB
bsrG
ybaR
csn
yclG
ywcJ
spoVE
ywhK-ywhL
yojA-yojB
pckA
resA-resB-resC-resD-resE
yosA
yfiG-yfiH-yfiI
yqfU-zur
yhjE-sipV
cotB-ywrJ
cotI
yteP-yteR-yteS-yteT-yteU-yteV
sppA-yteJ
yczH
yqeF
ytcD
pps
ynaB-ynaC
yybP
yncB
yqjB-yqjC
ywbI-thiM-thiE
efeB-ywbO
ycgI
ytkA-dps
mrfA-mrfB-cotD
bsaA-ypgQ-ypgR
yugI
ymaE-ymzB
yktD
putB-putC-putP
rny-ymdB
ypjD-dapB-mgsA-bshB1-bshA-cca-birA
cotF
yeeK
sacB-levB
ilvD
med-comZ
yetL
yhdF
roxS
yisR-iolQ
yabG
ytzK-tyrS
yvfR-yvfS
proB-proA
yhcV
yvgL-yvgM
pghB-yjqC
pucR-pucJ-pucK-pucL-pucM
tcyA-tcyB-tcyC
htpG
yueD
cah
ywzD
ydiG-rex-tatAY-tatCY
mobA-moeB-moeA-mobB-moaE-moaD
yonU
yqgA
ywdH
azlB-azlC-azlD-brnQ-yrdK
ykvN
spoIIAA-spoIIAB-sigF
senS
yqjP-yqjQ-dsdA-coaA-yqjT
yrrD-yrzR-yrzQ
ylbB-ylbC
ycnC-ycnB
yrbC
yyaK
zwf
yocC-yocD
yqgY
fbaA
ypqA
rpsNB
ylbF-ylbG-ylbH-ylbI
tagO
greA
defB
lplD-yetF
moaB
yqaF-yqdA-yqaG-yqaH-yqaI-yqaJ-yqaK-yqaL-yqaM-yqzO-yqaN
rplM-rpsI
yaaJ-scr
yqiG
yvzB
upp
tatAC
pdaC
mtlR
yugS
yfnI
yxjJ-yxjI
pabB-pabA-pabC-sul-folB-folK-yazB-yacF-lysS
thiT
yxnA
ydaD-ydaE
yugT
araA-araB-araD-araL-araM-araN-araP-araQ-abfA
yfhI
ycnK-ycnJ-ycnI
ytcA-ytcB-ytcC
yhcJ
spo0M
yqeW
ycdA
yugP
murC
bstC
hmp
yxiT
sspB
yvdQ
spoIIIE-ymfC
pyrG
fin
ypzA
arfM
yonT-yoyJ-yonU-yonV
yhcN
ypgR
bsrH-ratA
galK-galT
yisP
dnaX-yaaK-recR-yaaL-bofA
ymcC
lonA-ysxC
sdhC-sdhA-sdhB
yqfT
xkdA
gudB
rpmGC
lytS-lytT
ilvA-ypmP
yndG-yndH-yndJ-yndK
yezD-yetJ-yetK
yozQ
manR
sigO-rsoA
yopM-yopN-yopO-yopP-yopQ-yopR
yycC-yycB-yycA
sinR
cydA-cydB-cydC-cydD
ydaP
yolA-yolB
yyzE-bglA
ydaJ-ydaK-ydaL-ydaM-ydaN
oxdD
yqjL
gspA
ycgE-ycgF-ycgG
dnaA-dnaN
yoaI
ywdF-ung
ycxA
ycbR
ytwI
yezE
yheN
gerM
yfjT
yuxJ
ygzA
katX
yyaL
ywlA
ywqB-ywqA
yeaA-ydjP-ydjO
yjbL-sasB-nadF-yjbO
yueE
yyaC
yczN-yczM
cysL
hmoB
tlrB
nifS-nadR
ygzB
ypzD
yobO
thiC
amyX
yrbD
yxkF-msmX
yqzG
wapA-wapI
ykvR
gerR
rpoE
ymzD
cheR-aroF-aroB-aroH
yisV
flgM-yvyG-flgK-flgL
sunA-sunT-bdbA-yolJ-bdbB
ahpA-ahpT
ywzA
ywnF
ylaN
ykhA
malR
ureA-ureB-ureC
spoVK
ypuB-ypuC/1
yloB-yloC-remA-gmk-yloH
folE-mtrB
yuiA-yuiB
pcp
xpaC-yaaN-yaaO-tmk-darA-yaaR-holB-yaaT-yabA-yabB-yazA-yabC
odhA-odhB
liaI-liaH
dnaC
ydeQ
yybE-yybD-yybC
azoR1
cspB
yitC-yitD
yocD
braB
yhbH
opuE
rplI
sspL
kinC-ykqA-ktrC
nrgA-nrgB
fabHA-fabF
yybS-gdpP-rplI
divIC-yabR
ywhH
ykrK
bglP-bglH-yxiE
yvyC-fliD-fliS-fliT-smiA-S1350-hpf
yfiU
yqeD
rapJ
yfmR
yjcS-yjdA
ydbP
yxdL-yxdM-yxeA
phoP-phoR
rsbRB
hepS-menH-hepT-ndk
yhfC
pbpX
bmr-bmrR
yfiB-yfiC
ykoV-ligD
ribC-rpsO
nrdR
ywmE
ywiC
epr
ytpI
gbsA-gbsB
ycxB
yocH
yrzM-yrkD-yrkE-yrkF-yrkH-yrkI
sspD
ytfI-gerW
sipU
yfiS-yfiR
nudF-yqxK
pgi-yugM-yugN
btr
fadM-fadN-fadA-fadE
sspK
phrC
speE-speB
gsaB
glnR
uvrB-uvrA
yutC
mcpB
spoIIE-yabS-yabT-tilS-hprT-ftsH
asnO
yqaB-sigKC
yndD-yndE-yndF
rpsJ-rplC-rplD-rplW-rplB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ-rplN-rplX-rplE-rpsN-rpsH-rplF-rplR-rpsE-rpmD-rplO-secY-adk-map-ybzG-infA-rpmJ-rpsM-rpsK-S56-rpoA-rplQ
yubC
yhfR
ydiL-ydiK
salA
bstH
yvrP-yvrO-yvrN
yojB
ywkD-racA
plsY-yneR
yfjN
yezG
fur
rny
yobB
ytvI
sspJ
ykvU-stoA
yjbE
hisJ-S1129-S1130-S1131-S1132-ytsP
yvcI-yvcJ-glmR-whiA-crh-yvcN
yvkN
cgeC-cgeD-cgeE
nprB
ybdN
phy
sspI
spoIIIL
yjgA
yxkI
yaaI-yaaH
yhdW-yhdV-fluC
ilvB-ilvH-ilvC-leuA-leuB-leuC-leuD
prfA
yobI
bsrB-recQ-yocH
spoIIQ
yhaI
yheF-yheG
mecA
yufK
fabI
sndC
csbX-bofC
tmrB
ydgJ-ydgI
ybfO
ycbU
spoVID-ysxE
nprE
yqgT-yqgU-yqgV
yjfB
patA
lrpA
rapE-phrE
menA
fbpC
hfq
yjdB
pepT
yvgO
slrR-pnbA
murAB-glpX
yrhH-fatR-yrhJ
pucI
thiU-thiV-thiW-thiX
cotSA-cotS-ytxO
spoIIIAG-spoIIIAH
ytkK-ytkL
cmpA
yhjD
yuiF
spoIVFA-spoIVFB-rplU-prp-rpmA
nusB-folD
tlpA-mcpA
ahpC-ahpF
yugU-yuzH
bsrD
sigL
hpf
ssuB-ssuA-ssuC-ssuD-ygaN
sacP-sacA-ywdA
yuxN
ykzQ
papB-ykvZ-glcT
ydfQ
hemQ
yuiC
yaaC
rbsR-rbsK-rbsD-rbsA-rbsC-rbsB
yhaZ
yjzJ-xkdB-xkdC-ykzK-xkdD-xtrA
ysnB
brxA-ypiP
yyzM-yyaE-yyaF-rpsF-ssbA-rpsR
rnpB-ypsC
iolW
pucH
yddN
ywiB-argS
ispA
pgcA
yvpB-pelC
ydhI-ydhH
relA-dtd
yuzJ
yfhP
ywrO
ywpB-mscL
tpx
hbuT-scoA-scoB-yxjF
ptsH-ptsI
pbpG
nhaK
yhdY
rnhC
treP-treA-treR
fadF-acdA-rpoE
fabL-sspE
yjgB-yjgA
yodH-yodI
lysA
yrkP-yrkQ-yrkR
refZ
opuCA-opuCB-opuCC-opuCD
mraZ-mraW-ftsL-pbpB
yoxD
sdpR-sdpI
mgtE
yhaL
rplK-rplA-BSU_misc_RNA_3-rplJ-rplL
yjcL-yjcK
coiA
ascR
ezrA
yraH
yeeF-yezG
ydeP
yqeZ-floA-yqfB
bpsA-bpsB
yndM
dat
ypjP-ypjQ-thyB-dfrA-ypkP
ohrB
yjzE
trmK-yqfO
yitS
yisN
ymaG
yhxD
ypvA
rnmV-ksgA
spsA-spsB-spsC-spsD-spsE-spsF-spsG-spsI-spsJ-spsK-spsL
opcR
cspR
chaA-yfkD
ywlB
ylbH-ylbI
ydfS
ywzC-ywfO-ywgA
lipL
phoH
galE
yezD-yetJ
yutH-hom-thrC-thrB
csgA-ybxH
tetL-tetB
ycgF-ycgG
yozO
yrzL-yrrK-yrzB
ywkF
ykoJ
rhgR-yesT-yesU-yesV-yesW-yesX-yesY-yesZ
ppiB
minJ
cpgA
uxaC-yjmB-yjmC-yjmD-uxuA-yjmF-exuT-exuR-uxaB-uxaA
ylaF
yfjR
fapR-plsX-fabD-fabG-acpA
tagD-tagE-tagF-tagG-tagH
yrzR-yrzQ
valS-folC
malK-malR
pycA
ykoX-ykoY
tenA-tenI-thiO-thiS-thiG-thiF-thiD
yhfA-sndC
yeeI
yjzH
ywmC
yfiF
yraI-yraJ
yraN-yraO
ydaD-ydaE-ydaF-ydaG
yjzC
ylxS-nusA-ylxR-rplGA-infB-ylxP-rbfA
sigG
yheC-yheD
citS-citT-yflP
ywpF
ydzK
ykpA-ykpB
ylbD-ylbE
feuA-feuB-feuC-ybbA
ywzB-spoIIT-murAA
sspF
yngL
lutP
cotV-cotW-cotX
ylyA
ytzJ
ydhK
cotU
yhxC
fabHB
ywpE
sigH-rpmGB-secE
yhdX
yetN
psdA-psdB
dtpT
rmgR
rrnE_16S-rrnE_23S-rrnE_5S
mrgA
yaaA-recF-remB-gyrB-gyrA
ydzH
ygaE
ypbG
ftsA-ftsZ
yopQ-yopR
ptsA
ytcI-ytcJ
ypiP
yuzN-glxB
ycgT
yqjM
yezC
sigW-rsiW
yheE
htrB
metI-metC
yorD
yqaR
sknR
yqgX
yqfQ
spoVS
sda
mprF
ybgG-ybgF
yhzC
ctpB
yqxC
ycgG
yugF
sftA-murC
ypuD
rpsT
glsA-glnT
alsR-ywrK
ytrH-ytrI
rpoB-rpoC
yjbA
trpE-trpD-trpC-trpF-trpB-trpA-hisC-tyrA-aroE
nfrA-ywcH
yisK-yisL
cshB-nfo
yqhS-papA-efp
csoR-copZ-copA
melR-melE-melD-melC-melA
yyzH
yyaF-rpsF-ssbA-rpsR
ykuE-ldt-ykuC
ydgG-ydgH
acsA-ytzK-tyrS
iseA
yheB-yheA
yuzB
yjqC
yngJ-yngI-yngH-yngHB-yngG-yngF-yngE
yebD
yflJ
cysH-cysP-sat-cysC-ylnD-sirB-ylnF
